# section: current_log year=2026
date,sleep_cycles,miles,minutes,temp_c,weather,workout_raw,partners,conditions,wind,time_of_day,shoes,location,weight_lbs
2026-02-26,4.0,5.5,33.0,0.0,clear,rec@6:00,solo,dry,low,morning,Saucony Endorphin Speed 5,lakefront,153.9
2026-02-27,4.0,5.0,30.0,3.0,clear,rec@6:00,solo,wet,low,morning,Saucony Endorphin Speed 5,lakefront,153.0
2026-02-28,5.0,5.2,30.0,-3.0,overcast,rec@5:46,solo,dry,high,afternoon,Saucony Endorphin Speed 5,lakefront,155.1
2026-03-01,5.0,5.2,30.0,-2.0,clear,rec@5:46,solo,dry,moderate,afternoon,Saucony Endorphin Speed 5,lakefront,153.9
2026-03-02,4.0,5.1,30.0,3.0,clear,rec@5:52,solo,dry,low,morning,Saucony Endorphin Speed 5,lakefront,152.5
2026-03-03,3.0,4.9,30.0,5.0,overcast,rec@6:07,solo,dry,low,morning,Saucony Endorphin Speed 5,denver,
2026-03-04,4.0,5.2,30.0,5.0,clear,rec@5:46,solo,dry,low,morning,Saucony Endorphin Speed 5,denver,
2026-03-05,4.0,5.0,30.0,8.0,clear,rec@6:00,solo,dry,low,morning,Saucony Endorphin Speed 5,lakefront,
2026-03-06,5.0,5.4,31.0,15.0,foggy,rec@5:44,solo,wet,moderate,afternoon,Saucony Endorphin Speed 5,lakefront,153.2
2026-03-07,6.0,5.5,31.0,11.0,overcast,rec@5:38,solo,dry,moderate,afternoon,Saucony Endorphin Speed 5,lakefront,153.2
2026-03-08,6.0,7.0,41.0,13.0,clear,rec@5:51,solo,dry,moderate,afternoon,Saucony Endorphin Speed 5,lakefront,153.9
2026-03-09,5.0,8.2,49.0,20.0,clear,rec@5:58,solo,dry,moderate,afternoon,Saucony Endorphin Speed 5,lakefront,151.8
2026-03-10,5.0,10.0,63.0,4.0,overcast,rec@6:18,solo,dry,high,afternoon,Saucony Endorphin Speed 5,lakefront,151.8
2026-03-11,5.0,6.5,39.0,3.0,overcast,rec@6:00,solo,wet,low,morning,Saucony Endorphin Speed 5,lakefront,155.1
2026-03-12,3.0,16.0,101.0,1.0,clear,long@6:18,solo,icy,low,morning,Saucony Endorphin Speed 5,south lakefront,152.7
2026-03-13,4.0,7.0,43.0,7.0,cloudy,rec@6:08,solo,dry,high,morning,Saucony Endorphin Speed 5,lakefront,153.2
2026-03-14,5.0,8.0,46.0,8.0,clear,rec@5:45,solo,dry,low,morning,Saucony Endorphin Speed 5,mccabe,
2026-03-15,6.0,10.0,60.0,14.0,overcast,rec@6:00,solo,wet,high,afternoon,Saucony Endorphin Speed 5,lakefront,153.2
2026-03-16,4.0,4.8,28.0,-4.0,cloudy,rec@5:50,solo,snow,moderate,morning,Saucony Endorphin Speed 5,lakefront,155.9
2026-03-17,5.0,5.7,33.0,-8.0,clear,rec@5:47,solo,icy,moderate,morning,Saucony Endorphin Speed 5,lakefront,155.2
2026-03-18,5.0,6.2,34.0,-3.0,snow,rec@5:29,solo,snow,moderate,morning,Saucony Endorphin Speed 5,lakefront,155.2
2026-03-19,4.0,24.5,144.0,5.0,clear,long@5:52,solo,dry,low,morning,Saucony Endorphin Speed 5,south lakefront,151.8
2026-03-20,5.0,5.5,34.0,13.0,overcast,rec@6:10,solo,dry,moderate,morning,Saucony Endorphin Speed 5,lakefront,151.8
2026-03-21,3.0,7.4,45.0,2.0,overcast,rec@6:04,solo,dry,low,morning,Saucony Endorphin Speed 5,detroit,
2026-03-22,5.0,7.9,47.0,7.0,light rain,rec@5:56,solo,wet,low,afternoon,Saucony Endorphin Speed 5,toronto,
2026-03-23,4.0,8.6,50.0,2.0,overcast,rec@5:48,solo,dry,low,morning,Saucony Endorphin Speed 5,toronto,
2026-03-24,5.0,5.7,36.0,1.0,cloudy,rec@6:18,solo,dry,low,morning,Saucony Endorphin Speed 5,ithaca,
2026-03-25,5.0,7.0,44.0,0.0,cloudy,rec@6:17,solo,dry,low,morning,Saucony Endorphin Speed 5,ithaca,
2026-03-26,6.0,10.4,63.0,13.0,cloudy,rec@6:03,solo,dry,low,morning,Saucony Endorphin Speed 5,hopewell junction,
2026-03-27,6.0,10.0,65.0,6.0,cloudy,"12j, 40hc-8x hj, 13j",solo,dry,moderate,morning,Saucony Endorphin Speed 5,hopewell junction,
2026-03-28,4.0,5.4,33.0,2.0,cloudy,rec@6:06,solo,dry,low,morning,Saucony Endorphin Speed 5,central park,
2026-03-29,6.0,5.3,33.0,7.0,cloudy,rec@6:13,solo,dry,moderate,morning,Saucony Endorphin Speed 5,manhattan,
2026-03-30,5.0,5.0,30.0,26.0,clear,rec@6:00,solo,dry,moderate,afternoon,Saucony Endorphin Speed 5,lakefront,151.3
2026-03-31,5.0,8.0,49.0,6.0,cloudy,rec@6:07,solo,wet,low,late,Saucony Endorphin Speed 5,lakefront,151.3
2026-04-01,4.0,5.4,33.0,3.0,overcast,rec@6:06,solo,dry,high,morning,Saucony Endorphin Speed 5,lakefront,152.7
2026-04-02,5.0,8.0,48.0,18.0,heavy rain,rec@6:00,solo,wet,moderate,afternoon,Saucony Endorphin Speed 5,lakefront,151.3
2026-04-03,7.0,17.0,101.0,6.0,overcast,long@5:56,solo,dry,high,afternoon,Saucony Endorphin Speed 5,south lakefront,150.5
2026-04-04,5.0,10.0,61.0,10.0,cloudy,rec@6:06,solo,wet,moderate,afternoon,Saucony Endorphin Speed 5,lakefront,151.3
2026-04-05,6.0,10.0,58.0,10.0,clear,rec@5:48,solo,dry,moderate,afternoon,Saucony Endorphin Speed 5,lakefront,152.7
2026-04-06,5.0,10.0,60.0,10.0,cloudy,rec@6:00,solo,dry,moderate,afternoon,Saucony Endorphin Speed 5,lakefront,151.3
2026-04-07,5.0,8.0,46.0,1.0,clear,rec@5:45,solo,dry,low,morning,Saucony Endorphin Speed 5,lakefront,153.3
2026-04-08,5.0,7.0,40.0,7.0,cloudy,rec@5:42,solo,dry,moderate,morning,Saucony Endorphin Speed 5,lakefront,154.1
2026-04-09,5.0,10.0,59.0,19.0,clear,rec@5:54,solo,dry,low,afternoon,Saucony Endorphin Speed 5,lakefront,
2026-04-10,4.0,10.0,58.0,8.0,overcast,rec@5:48,solo,dry,low,afternoon,Saucony Endorphin Speed 5,lakefront,
2026-04-11,5.0,7.2,40.0,9.0,clear,rec@5:33,solo,dry,low,morning,Saucony Endorphin Speed 5,lakefront,151.9
2026-04-12,6.0,8.0,45.0,26.0,cloudy,rec@5:37,solo,dry,moderate,afternoon,Saucony Endorphin Speed 5,lakefront,151.9
2026-04-13,4.0,5.4,31.0,19.0,cloudy,rec@5:44,solo,wet,low,morning,Saucony Endorphin Speed 5,lakefront,153.3
2026-04-14,4.0,7.2,42.0,26.0,clear,rec@5:50,solo,dry,moderate,afternoon,Saucony Endorphin Speed 5,lakefront,150.5
2026-04-15,5.0,7.0,40.0,22.0,cloudy,rec@5:42,solo,wet,low,late,Saucony Endorphin Speed 5,lakefront,150.5
2026-04-16,4.0,5.0,30.0,18.0,overcast,rec@6:00,solo,wet,low,morning,Saucony Endorphin Speed 5,lakefront,151.9
2026-04-17,4.0,4.7,28.0,15.0,cloudy,rec@5:57,solo,wet,low,morning,Saucony Endorphin Speed 5,lakefront,152.5
2026-04-18,3.0,4.0,24.0,9.0,overcast,rec@6:00,solo,wet,low,morning,Saucony Endorphin Speed 5,lakefront,152.5
2026-04-19,5.0,4.3,27.0,9.0,light rain,rec@6:16,solo,wet,moderate,morning,Adidas Adios Pro 4,hopewell junction,
2026-04-20,5.0,26.2,151.0,8.0,cloudy,42195 race@2:31:02,solo,dry,low,morning,Adidas Adios Pro 4,boston,
2026-04-21,4.0,4.3,28.0,1.0,clear,rec@6:30,solo,dry,moderate,morning,Adidas Adios Pro 4,westfield,
2026-04-22,5.0,7.0,46.0,15.0,overcast,rec@6:34,solo,dry,moderate,morning,Saucony Endorphin Speed 5,lakefront,151.9
2026-04-23,4.0,5.0,31.0,22.0,cloudy,rec@6:12,solo,dry,low,morning,Saucony Endorphin Speed 5,lakefront,152.4
2026-04-24,4.0,7.0,43.0,22.0,cloudy,rec@6:08,solo,dry,low,afternoon,Saucony Endorphin Speed 5,lakefront,149.7
2026-04-25,5.0,5.3,32.0,8.0,overcast,rec@6:02,solo,dry,moderate,afternoon,Saucony Endorphin Speed 5,lakefront,150.2
2026-04-26,4.0,7.6,47.0,12.0,cloudy,rec@6:11,solo,dry,low,afternoon,Saucony Endorphin Speed 5,lakefront,149.7
2026-04-27,4.0,6.4,41.0,13.0,overcast,rec@6:24,solo,wet,low,morning,Saucony Endorphin Speed 5,lakefront,150.2
2026-04-28,4.0,8.0,49.0,16.0,cloudy,rec@6:07,solo,dry,low,afternoon,Saucony Endorphin Speed 5,lakefront,148.2

# section: changes
date,race_seq,field,value,note
2016-01-09T00:00:00,1.0,surface,Road,
2016-01-23T00:00:00,1.0,surface,XC,
2016-02-06T00:00:00,1.0,surface,Road,
2016-02-15T00:00:00,1.0,location,"Redmond, WA",
2016-02-15T00:00:00,1.0,surface,Track,
2016-03-24T00:00:00,1.0,location,"Snoqualmie, WA",
2016-04-02T00:00:00,1.0,location,"Oak Harbor, WA",
2016-04-02T00:00:00,1.0,surface,XC,
2016-04-13T00:00:00,1.0,location,"Sammamish, WA",
2016-04-16T00:00:00,1.0,location,"Tacoma, WA",
2016-04-28T00:00:00,1.0,location,"Kenmore, WA",
2016-04-30T00:00:00,1.0,location,"Shoreline, WA",DMR split
2016-05-05T00:00:00,1.0,location,"Woodinville, WA",
2016-05-12T00:00:00,1.0,location,"Kenmore, WA",
2016-09-07T00:00:00,1.0,location,"Sammamish, WA",
2016-09-07T00:00:00,1.0,surface,XC,
2016-09-14T00:00:00,1.0,location,"Mercer Island, WA",
2016-09-17T00:00:00,1.0,location,"Langley, WA",
2016-10-01T00:00:00,1.0,location,"Marysville, WA",
2016-10-05T00:00:00,1.0,location,"Bellevue, WA",
2016-10-08T00:00:00,1.0,location,"Arlington, WA",
2016-10-20T00:00:00,1.0,location,"Sammamish, WA",
2016-10-27T00:00:00,1.0,location,"Seattle, WA",
2016-11-05T00:00:00,1.0,location,"Pasco, WA",
2016-11-24T00:00:00,1.0,location,"Redmond, WA",
2016-12-17T00:00:00,1.0,surface,XC,
2017-01-07T00:00:00,1.0,surface,Road,
2017-01-21T00:00:00,1.0,location,"Redmond, WA",
2017-02-04T00:00:00,1.0,surface,Track,
2017-02-11T00:00:00,1.0,location,"Redmond, WA",
2017-02-11T00:00:00,1.0,surface,Road,
2017-02-18T00:00:00,1.0,surface,Road,
2017-03-25T00:00:00,1.0,location,"Kent, WA",
2017-03-30T00:00:00,1.0,location,"Kirkland, WA",
2017-03-30T00:00:00,2.0,location,"Kirkland, WA",
2017-04-13T00:00:00,1.0,location,"Kirkland, WA",
2017-04-15T00:00:00,1.0,location,"Pasco, WA",
2017-04-22T00:00:00,1.0,location,"Arlington, WA",
2017-04-28T00:00:00,1.0,location,"Renton, WA",
2017-05-10T00:00:00,1.0,location,"Sammamish, WA",
2017-05-12T00:00:00,1.0,location,"Sammamish, WA",
2017-05-20T00:00:00,1.0,location,"Seattle, WA",
2017-06-24T00:00:00,1.0,location,"Mill Creek, WA",
2017-08-09T00:00:00,1.0,surface,Track,
2017-11-11T00:00:00,1.0,location,"Nashville, TN",
2017-11-23T00:00:00,1.0,location,"Redmond, WA",
2018-01-06T00:00:00,1.0,surface,Road,
2019-01-05T00:00:00,1.0,surface,Road,
2019-12-21T00:00:00,1.0,surface,XC,
