date,cs_pace_med,cs_pace_lo50,cs_pace_hi50,cs_pace_lo95,cs_pace_hi95,cs_mps_med,cs_pace_trend_med,cs_pace_trend_lo95,cs_pace_trend_hi95,dp_med,dp_lo50,dp_hi50,dp_lo95,dp_hi95
2017-11-25,5.508377610639561,5.458308969993138,5.5646637640855445,5.360218179811241,5.665496256488892,4.869382946751871,5.45032114942688,5.202288943360615,5.719499617088952,169.13991935419256,161.09441382418626,178.78322193836823,143.09551641573165,217.68362367952088
2017-12-02,5.51723696235531,5.467427778530297,5.573532344277332,5.367393732460557,5.67578778878726,4.8615638927706595,5.449866461245907,5.201805519652894,5.720023694337149,169.09730054889192,161.02798931503634,178.73576253295298,142.69837536714996,218.18667022504107
2017-12-09,5.525014990101564,5.474316564337245,5.581029796418203,5.3737994715303925,5.685143702859419,4.854719860288322,5.449894320706262,5.202138017479309,5.717824974932502,169.04082893977434,160.90687135461116,178.78575344559954,142.52871005454352,218.26675230251809
2017-12-16,5.532834024055987,5.481318220661107,5.587749844897264,5.382972947943563,5.694845497039293,4.84785914359102,5.449774772692511,5.202824585842927,5.7180799952801316,169.07957528616794,160.8979985491026,178.66565146763458,142.31343194546318,217.35954866262395
2017-12-23,5.539847294413427,5.487598094289315,5.595097300563511,5.389719493019055,5.70308895884803,4.841721905801505,5.450159398937263,5.203125431870383,5.719259649456607,168.97931062657747,160.83799446219115,178.5966741536493,142.38035507576197,217.97373305795168
2017-12-30,5.5462153838658885,5.49361106985902,5.601684745328958,5.394682116762804,5.709942277463674,4.836162706349206,5.45010098289287,5.203159626790455,5.718713647687735,168.92299262376633,160.81683900844854,178.54997407950404,142.4032513227198,218.10060272823577
2018-01-06,5.551789760194257,5.4990802463396005,5.606866384756318,5.400452844874454,5.718078449020597,4.831306868409994,5.449712997935301,5.202869727985915,5.718806524610179,168.8687834841299,160.75284012605402,178.61260196804218,142.29581364060732,218.35148690046523
2018-01-13,5.556955143710548,5.503728075824431,5.611457010095112,5.406252791602688,5.7237251760707935,4.826816000289591,5.44964864495927,5.203413073788193,5.720027608263855,168.82416297819822,160.66851087617226,178.5633776184648,142.13648479644104,218.69938734352976
2018-01-20,5.561455286523181,5.507801196722166,5.615514208584053,5.410780742370098,5.728639059721467,4.822910302815222,5.449313639296822,5.203869221731775,5.719403868022587,168.77483684880238,160.60212266094416,178.5782102431688,141.5456072996987,218.9582893904403
2018-01-27,5.56498587089019,5.511362497576448,5.618387065763833,5.415138973270366,5.731414007850622,4.819850512514806,5.449191311352813,5.2027509572050725,5.720588923643921,168.7246355704802,160.56587557101034,178.54212347309914,141.02986722544458,218.71684599134204
